predictor,coefficient,std_err,t_value,p_value,ci_lower,ci_upper
const,83.94271240527519,23.213799087544924,3.6160695665843687,0.00034202791922801365,38.29016450974751,129.59526030080286
heatwave_days,-0.040942200262291284,0.08653117601806395,-0.4731497033363366,0.6363947381743325,-0.21111549428983037,0.1292310937652478
drought_index,-1.0694173869422154,1.0214912508114642,-1.0469178136304929,0.2958437944927158,-3.078294868679083,0.9394600947946523
flood_events_count,0.9216688769407329,0.35365345451307406,2.6061356539263216,0.009539416616398831,0.22616956596240056,1.6171681879190651
deforestation_rate,3.229954150108976,1.5034264078719297,2.148395247813235,0.03235273335497902,0.27329695522527464,6.186611344992677
fossil_fuel_consumption,-0.09318792523186767,0.07496758822037841,-1.2430428595078697,0.21466551826414798,-0.2406201227337105,0.05424427226997516
co2_concentration_ppm,-0.0731713398318647,0.05385078328688536,-1.3587794896510745,0.17507194086058803,-0.17907496439348386,0.032732284729754466
renewable_energy_share,-0.12455342798241087,0.09189889793739664,-1.355331029837367,0.1761665898430161,-0.30528295113419046,0.056176095169368695
forest_cover_percent,0.02848887275399361,0.08497080945030519,0.3352783495684504,0.7376115016882026,-0.13861578484740325,0.19559353035539048
air_quality_index,-0.032096281243565575,0.03109786455642989,-1.032105634948791,0.30271937016439904,-0.09325373098959913,0.029061168502467975
